## Supplementary data to Jordi Pereira, Marcus Ritt, and Oscar C. Vásquez. A memetic algorithm for the cost-oriented robotic assembly line balancing problem. 2018. (doi:10.1016/j.cor.2018.07.001)
## Experiments presented in Table 7.
##
## Columms:
## inst: name of the instance.
## rho: time-cost correlation.
## costf: cost factor \sigma.
## type: type of the algorithm.
## vbest: value of best solution.
## mbest: number of machines in best solution.
## timetobest: time to find best solution.
## bkv: best known solution value for this instance.
## lb: best known lower bound for this instance.
## brd: relative deviation of the best known value from the lower bound.
## rd: relative deviation of the best found value from the lower bound.
##
"inst" "rho" "costf" "type" "vbest" "mbest" "timetobest" "bkv" "lb" "brd" "rd"
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rs" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ga" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "rl" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 1 "ma" 25506 6 0 25506 24367.7833333333 4.67098976996268 4.67098976996268
"025_003_roszieg" 0 3 "rs" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ga" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ma" 50267 5 4 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ma" 50267 5 10 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "rl" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "rl" 50267 5 1 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "rs" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ga" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ma" 50267 5 5 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "rs" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ga" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ma" 50267 5 3 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ma" 50267 5 46 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "rs" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
"025_003_roszieg" 0 3 "ga" 50267 5 0 50267 49763.2916666667 1.01220863102739 1.01220863102739
